ds,occupancy
2025-01-01,72.1
2025-01-02,78.6
2025-01-03,79.0
2025-01-04,72.6
2025-01-05,69.6
2025-01-06,66.9
2025-01-07,70.5
2025-01-08,72.1
2025-01-09,77.2
2025-01-10,71.6
2025-01-11,78.0
2025-01-12,70.4
2025-01-13,70.2
2025-01-14,68.9
2025-01-15,71.5
2025-01-16,76.7
2025-01-17,78.4
2025-01-18,73.7
2025-01-19,70.4
2025-01-20,70.4
2025-01-21,67.3
2025-01-22,68.8
2025-01-23,76.8
2025-01-24,74.9
2025-01-25,69.7
2025-01-26,69.0
2025-01-27,67.7
2025-01-28,66.7
2025-01-29,69.1
2025-01-30,76.1
2025-01-31,79.0
2025-02-01,74.1
2025-02-02,69.4
2025-02-03,70.1
2025-02-04,71.7
2025-02-05,72.3
2025-02-06,77.6
2025-02-07,79.6
2025-02-08,74.4
2025-02-09,69.4
2025-02-10,70.2
2025-02-11,70.7
2025-02-12,76.0
2025-02-13,73.2
2025-02-14,75.6
2025-02-15,73.0
2025-02-16,67.3
2025-02-17,69.8
2025-02-18,71.6
2025-02-19,71.6
2025-02-20,80.1
2025-02-21,79.5
2025-02-22,76.9
2025-02-23,72.9
2025-02-24,72.1
2025-02-25,67.2
2025-02-26,75.2
2025-02-27,78.4
2025-02-28,73.2
2025-03-01,76.4
2025-03-02,71.4
2025-03-03,71.9
2025-03-04,69.6
2025-03-05,73.9
2025-03-06,77.9
2025-03-07,75.7
2025-03-08,77.2
2025-03-09,72.0
2025-03-10,71.4
2025-03-11,69.6
2025-03-12,76.8
2025-03-13,78.8
2025-03-14,77.6
2025-03-15,77.5
2025-03-16,75.6
2025-03-17,74.8
2025-03-18,67.2
2025-03-19,76.5
2025-03-20,78.6
2025-03-21,78.0
2025-03-22,73.6
2025-03-23,75.8
2025-03-24,67.4
2025-03-25,72.8
2025-03-26,77.8
2025-03-27,73.7
2025-03-28,77.7
2025-03-29,73.1
2025-03-30,73.5
2025-03-31,74.6
2025-04-01,76.6
2025-04-02,70.3
2025-04-03,76.5
2025-04-04,80.5
2025-04-05,80.5
2025-04-06,74.2
2025-04-07,69.1
2025-04-08,72.5
2025-04-09,74.9
2025-04-10,77.6
2025-04-11,77.1
2025-04-12,77.7
2025-04-13,74.1
2025-04-14,71.0
2025-04-15,71.5
2025-04-16,72.0
2025-04-17,77.1
2025-04-18,82.1
2025-04-19,76.5
2025-04-20,70.0
2025-04-21,74.8
2025-04-22,73.5
2025-04-23,80.6
2025-04-24,78.7
2025-04-25,78.2
2025-04-26,73.6
2025-04-27,77.1
2025-04-28,78.1
2025-04-29,70.4
2025-04-30,74.0
2025-05-01,80.2
2025-05-02,77.5
2025-05-03,76.7
2025-05-04,73.1
2025-05-05,72.3
2025-05-06,75.4
2025-05-07,75.9
2025-05-08,81.3
2025-05-09,78.7
2025-05-10,78.4
2025-05-11,68.8
2025-05-12,68.4
2025-05-13,74.8
2025-05-14,74.5
2025-05-15,80.6
2025-05-16,81.3
2025-05-17,81.1
2025-05-18,76.4
2025-05-19,74.8
2025-05-20,72.8
2025-05-21,74.5
2025-05-22,77.5
2025-05-23,79.0
2025-05-24,75.2
2025-05-25,73.2
2025-05-26,72.2
2025-05-27,73.9
2025-05-28,75.6
2025-05-29,74.8
2025-05-30,80.2
2025-05-31,78.8
2025-06-01,77.5
2025-06-02,74.1
2025-06-03,71.9
2025-06-04,74.8
2025-06-05,84.8
2025-06-06,82.5
2025-06-07,83.0
2025-06-08,80.4
2025-06-09,70.8
2025-06-10,74.7
2025-06-11,78.0
2025-06-12,81.4
2025-06-13,82.2
2025-06-14,79.2
2025-06-15,75.7
2025-06-16,69.3
2025-06-17,73.5
2025-06-18,75.2
2025-06-19,80.5
2025-06-20,79.9
2025-06-21,80.4
2025-06-22,77.5
2025-06-23,74.1
2025-06-24,74.9
2025-06-25,77.5
2025-06-26,79.3
2025-06-27,80.8
2025-06-28,77.9
2025-06-29,76.6
2025-06-30,73.6
2025-07-01,75.8
2025-07-02,74.2
2025-07-03,82.9
2025-07-04,79.5
2025-07-05,77.5
2025-07-06,75.4
2025-07-07,72.3
2025-07-08,75.3
2025-07-09,76.3
2025-07-10,78.2
2025-07-11,79.5
2025-07-12,82.8
2025-07-13,76.2
2025-07-14,71.0
2025-07-15,74.8
2025-07-16,74.0
2025-07-17,85.5
2025-07-18,78.1
2025-07-19,80.9
