ds,wait_time
2026-01-01,26.9
2026-01-02,34.9
2026-01-03,34.1
2026-01-04,28.3
2026-01-05,27.8
2026-01-06,18.8
2026-01-07,25.9
2026-01-08,26.3
2026-01-09,33.8
2026-01-10,34.2
2026-01-11,27.9
2026-01-12,27.4
2026-01-13,24.2
2026-01-14,22.2
2026-01-15,34.0
2026-01-16,34.3
2026-01-17,29.3
2026-01-18,27.2
2026-01-19,26.8
2026-01-20,24.1
2026-01-21,21.9
2026-01-22,31.6
2026-01-23,32.2
2026-01-24,30.3
2026-01-25,29.0
2026-01-26,25.3
2026-01-27,18.5
2026-01-28,21.6
2026-01-29,22.6
2026-01-30,31.0
2026-01-31,34.7
2026-02-01,26.3
2026-02-02,26.8
2026-02-03,19.6
2026-02-04,23.6
2026-02-05,26.5
2026-02-06,28.3
2026-02-07,31.2
2026-02-08,26.5
2026-02-09,26.7
2026-02-10,23.3
2026-02-11,27.7
2026-02-12,23.6
2026-02-13,35.2
2026-02-14,32.6
2026-02-15,31.4
2026-02-16,25.3
2026-02-17,27.8
2026-02-18,28.2
2026-02-19,31.2
2026-02-20,32.7
2026-02-21,25.9
2026-02-22,31.8
2026-02-23,25.7
2026-02-24,22.7
2026-02-25,25.4
2026-02-26,31.6
2026-02-27,32.7
2026-02-28,31.5
2026-03-01,27.8
2026-03-02,26.9
2026-03-03,26.4
2026-03-04,25.7
2026-03-05,29.4
2026-03-06,30.6
2026-03-07,29.2
2026-03-08,33.0
2026-03-09,27.6
2026-03-10,17.6
2026-03-11,21.9
2026-03-12,31.0
2026-03-13,35.1
2026-03-14,31.0
2026-03-15,36.9
2026-03-16,30.0
2026-03-17,26.0
2026-03-18,23.7
2026-03-19,23.8
2026-03-20,34.3
2026-03-21,38.2
2026-03-22,32.9
2026-03-23,34.6
2026-03-24,38.5
2026-03-25,34.1
2026-03-26,33.4
2026-03-27,44.9
2026-03-28,36.7
2026-03-29,42.5
2026-03-30,40.9
2026-03-31,38.2
2026-04-01,44.3
2026-04-02,42.0
2026-04-03,41.0
2026-04-04,46.7
2026-04-05,44.2
2026-04-06,36.1
2026-04-07,29.9
2026-04-08,35.0
2026-04-09,37.9
2026-04-10,42.7
2026-04-11,44.3
2026-04-12,44.4
2026-04-13,39.6
2026-04-14,39.4
2026-04-15,34.5
2026-04-16,42.7
2026-04-17,38.7
2026-04-18,45.0
2026-04-19,37.4
2026-04-20,35.2
2026-04-21,38.3
2026-04-22,33.2
2026-04-23,44.3
2026-04-24,49.1
2026-04-25,46.5
2026-04-26,41.3
2026-04-27,34.9
2026-04-28,32.6
2026-04-29,35.9
2026-04-30,37.0
